idx,sample,val
164,0.01025,0.06435813813899972
165,0.0103125,0.0647500181304249
166,0.010375,0.06514188813658356
167,0.0104375,0.06553374809704446
168,0.0105,0.06592559795137785
169,0.0105625,0.06631743763915558
170,0.010625,0.06670926709995102
171,0.0106875,0.06710108627333913
172,0.010750000000000001,0.06749289509889653
173,0.010812500000000001,0.06788469351620131
174,0.010875000000000001,0.06827648146483327
175,0.010937500000000001,0.06866825888437376
176,0.011,0.06906002571440578
177,0.0110625,0.069451781894514
178,0.011125,0.06984352736428466
179,0.0111875,0.07023526206330569
180,0.01125,0.07062698593116667
181,0.0113125,0.07101869890745888
182,0.011375,0.07141040093177523
183,0.0114375,0.07180209194371036
184,0.0115,0.0721937718828606
185,0.0115625,0.07258544068882397
186,0.011625,0.0729770983012002
